,"('12TH',)","('16TH',)","('19TH',)","('24TH',)","('ANTC',)","('ASHB',)","('BALB',)","('BAYF',)","('CAST',)","('CIVC',)","('COLM',)","('COLS',)","('CONC',)","('DALY',)","('DBRK',)","('DELN',)","('DUBL',)","('EMBR',)","('FRMT',)","('FTVL',)","('GLEN',)","('HAYW',)","('LAFY',)","('LAKE',)","('MCAR',)","('MLBR',)","('MONT',)","('NBRK',)","('OAKL',)","('ORIN',)","('PCTR',)","('PHIL',)","('PITT',)","('PLZA',)","('POWL',)","('RICH',)","('ROCK',)","('SANL',)","('SBRN',)","('SFIA',)","('SHAY',)","('SSAN',)","('UCTY',)","('WARM',)","('WCRK',)","('WDUB',)","('WOAK',)","('NCON',)","('BERY',)","('MLPT',)"
"('COLM',)",33368.0,49205.0,22288.0,39080.0,5987.0,2854.0,22506.0,3438.0,1181.0,140126.0,7182.0,4454.0,7519.0,13231.0,10303.0,9446.0,5025.0,235058.0,1503.0,3353.0,15728.0,1805.0,1219.0,2925.0,7548.0,24401.0,299325.0,2137.0,762.0,909.0,2153.0,3822.0,5519.0,2017.0,163826.0,5004.0,1424.0,2578.0,13417.0,45948.0,1758.0,5830.0,1967.0,1028.0,4457.0,1121.0,4399.0,1382.0,1.0,0.0
"('COLS',)",74503.0,46183.0,53669.0,40260.0,13619.0,23272.0,19181.0,55597.0,24109.0,110838.0,3687.0,12433.0,18164.0,36112.0,53569.0,39891.0,73461.0,200838.0,37506.0,79499.0,20295.0,49391.0,9165.0,78947.0,45646.0,6694.0,163310.0,16067.0,12337.0,9668.0,5569.0,16567.0,12168.0,17841.0,142581.0,21202.0,14072.0,56339.0,7114.0,13092.0,26911.0,5946.0,31970.0,47000.0,16683.0,32715.0,26158.0,5377.0,0.0,0.0
"('CONC',)",84381.0,35301.0,81483.0,22045.0,32917.0,6822.0,13171.0,5891.0,1455.0,112952.0,7594.0,19287.0,10574.0,25040.0,29653.0,9045.0,2792.0,286351.0,4697.0,12822.0,12568.0,8434.0,28343.0,11337.0,39172.0,7892.0,235467.0,6004.0,8668.0,10406.0,26121.0,27576.0,46059.0,5848.0,119519.0,5929.0,23249.0,8509.0,7333.0,44699.0,3142.0,6349.0,4289.0,5385.0,73608.0,1142.0,4836.0,12413.0,0.0,0.0
"('DALY',)",61413.0,107164.0,44391.0,87204.0,20112.0,11159.0,26490.0,21251.0,10648.0,253117.0,11892.0,34792.0,24985.0,16199.0,36236.0,38188.0,32631.0,385460.0,13572.0,34532.0,20302.0,15470.0,6290.0,30490.0,23580.0,70307.0,541127.0,10964.0,4440.0,5615.0,6020.0,20214.0,21416.0,14911.0,396955.0,25055.0,11617.0,27990.0,42643.0,66657.0,12149.0,20301.0,15354.0,12562.0,16880.0,14162.0,18527.0,10306.0,4.0,4.0
"('DBRK',)",130057.0,95873.0,146662.0,70768.0,13541.0,90799.0,28620.0,37785.0,15572.0,175413.0,10220.0,49867.0,29664.0,33583.0,29753.0,223507.0,39269.0,346034.0,46673.0,83611.0,37301.0,35730.0,18827.0,64462.0,99977.0,43206.0,259780.0,58561.0,19986.0,15868.0,7562.0,39114.0,19841.0,204222.0,195706.0,122127.0,15133.0,53518.0,11260.0,50981.0,21026.0,9662.0,42996.0,61257.0,36061.0,15173.0,21477.0,8044.0,1.0,0.0
"('DELN',)",153910.0,67252.0,131236.0,52878.0,3505.0,36415.0,24881.0,11332.0,2552.0,174061.0,8259.0,43515.0,8705.0,41418.0,237231.0,9315.0,7570.0,294811.0,12014.0,30242.0,21465.0,19954.0,2523.0,28783.0,69268.0,20251.0,258285.0,24143.0,9780.0,3752.0,2363.0,6006.0,4517.0,25342.0,206471.0,33431.0,9716.0,17976.0,10752.0,38880.0,7445.0,8626.0,9373.0,14638.0,8571.0,3817.0,10285.0,1634.0,0.0,0.0
"('DUBL',)",73283.0,60264.0,63081.0,23432.0,1366.0,5614.0,16515.0,39224.0,29340.0,186781.0,4753.0,77714.0,2982.0,31789.0,37312.0,7171.0,15291.0,674486.0,15297.0,37979.0,18128.0,21136.0,438.0,61366.0,19053.0,5085.0,487462.0,4322.0,17711.0,820.0,498.0,1499.0,1277.0,3685.0,211293.0,4083.0,3127.0,30419.0,3654.0,34843.0,10965.0,6649.0,17719.0,12364.0,1508.0,14315.0,8467.0,342.0,0.0,0.0
"('EMBR',)",371017.0,338886.0,405647.0,451633.0,105476.0,197569.0,367780.0,190456.0,143052.0,173979.0,225829.0,170311.0,228342.0,360745.0,297593.0,254235.0,558888.0,81543.0,344786.0,263794.0,304166.0,135753.0,236352.0,264261.0,318422.0,275607.0,40864.0,180898.0,47180.0,221470.0,27155.0,438911.0,143751.0,163924.0,208212.0,120223.0,306679.0,211909.0,165651.0,118877.0,114385.0,166250.0,238224.0,206258.0,367344.0,227342.0,507196.0,87061.0,0.0,0.0
"('FRMT',)",72546.0,29280.0,69907.0,10560.0,2556.0,7859.0,5465.0,37329.0,6598.0,93552.0,1199.0,37330.0,4679.0,14433.0,46869.0,11316.0,14953.0,398693.0,16023.0,27322.0,4589.0,61926.0,1572.0,33389.0,21989.0,1036.0,295346.0,7003.0,5474.0,1916.0,1165.0,5107.0,2540.0,8026.0,102164.0,7407.0,4276.0,28551.0,2354.0,8723.0,26064.0,1324.0,51051.0,29563.0,3921.0,7088.0,3927.0,993.0,2.0,2.0
"('FTVL',)",60644.0,92105.0,53261.0,65190.0,6341.0,30018.0,24240.0,59441.0,14699.0,211379.0,3111.0,75447.0,12561.0,36551.0,83559.0,30740.0,38909.0,333227.0,29206.0,11065.0,19461.0,56788.0,4365.0,49409.0,46445.0,6865.0,284885.0,19376.0,3420.0,5590.0,3863.0,5953.0,7787.0,15035.0,219354.0,26337.0,14833.0,66602.0,7113.0,20125.0,22768.0,4281.0,24041.0,25118.0,10632.0,19778.0,26636.0,2084.0,0.0,0.0
"('GLEN',)",53915.0,97331.0,48413.0,82129.0,12514.0,10990.0,33865.0,10146.0,5422.0,217113.0,14329.0,20546.0,15184.0,20024.0,41938.0,25221.0,20109.0,350881.0,5732.0,20611.0,11145.0,9725.0,6082.0,19787.0,24897.0,35016.0,454968.0,10652.0,4615.0,8526.0,3905.0,25236.0,13854.0,9535.0,328548.0,14621.0,17210.0,13556.0,21763.0,30091.0,5062.0,10018.0,4660.0,4664.0,14674.0,8920.0,19562.0,5238.0,0.0,0.0
